[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPTrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPTracker between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPConfiguratorFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.ITrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 008 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.Tracker between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 009 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerStat between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 009 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerType between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-15 09:17:53 052 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONCreator between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONField between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONType between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ASMException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ByteVector between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ClassWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.FieldVisitor between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.FieldWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Item between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Label between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 053 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.MethodVisitor between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.MethodWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Opcodes between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Type between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.codegen.ClassGen between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.codegen.DeserializerGen between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 054 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSON between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONArray between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONAware between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONObject between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$ArrayAccessSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Filter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$FilterSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntBetweenSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntInSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntObjInSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 055 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntOpSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$JSONPathParser between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MatchSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MultiIndexSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MultiPropertySegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$NotNullSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$NullSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Operator between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$PropertySegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$RangeSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 056 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$RlikeSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-15 09:17:53 057 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Segement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
