[10-16 13:26:18 047 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPTrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 047 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPTracker between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 047 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.NOPConfiguratorFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 048 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.helper.ITrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 048 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerFactory between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 048 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.Tracker between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 048 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerStat between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 048 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.spat.dtracker.api.TrackerType between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\dtracker-api-1.0.0-SNAPSHOT.jar and D:\dsf\lib\dtracker-api-1.0.2-20171128.101228-1.jar
[10-16 13:26:18 091 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONCreator between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 091 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONField between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.annotation.JSONType between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ASMException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ByteVector between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.ClassWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.FieldVisitor between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.FieldWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Item between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Label between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.MethodVisitor between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.MethodWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Opcodes between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.asm.Type between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.codegen.ClassGen between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 092 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.codegen.DeserializerGen between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 093 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSON between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONArray between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONAware between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONObject between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$ArrayAccessSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Filter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$FilterSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntBetweenSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntInSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntObjInSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$IntOpSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$JSONPathParser between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MatchSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MultiIndexSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$MultiPropertySegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$NotNullSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 095 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$NullSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Operator between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$PropertySegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$RangeSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$RlikeSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$Segement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$SelfSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$SizeSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$StringInSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$StringOpSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath$WildCardSegement between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPath between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPathException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONPObject between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONReader between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONStreamAware between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONStreamContext between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 096 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.JSONWriter between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
[10-16 13:26:18 098 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:com.alibaba.fastjson.parser.AbstractJSONParser between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\fastjson-1.2.6.jar and D:\dsf\lib\fastjson-1.2.7.jar
